aardvark-dns	aardvark-dns-1.14.0-1.el9.x86_64
acl	acl-2.3.1-4.el9.x86_64
adcli	adcli-0.9.2-1.el9.x86_64
afterburn	afterburn-5.9.0-1.el9_6.x86_64
afterburn-dracut	afterburn-dracut-5.9.0-1.el9_6.x86_64
alternatives	alternatives-1.24-2.el9.x86_64
attr	attr-2.5.1-3.el9.x86_64
audit	audit-3.1.5-4.el9.x86_64
audit-libs	audit-libs-3.1.5-4.el9.x86_64
authselect	authselect-1.2.6-3.el9.x86_64
authselect-libs	authselect-libs-1.2.6-3.el9.x86_64
avahi-libs	avahi-libs-0.8-22.el9_6.1.x86_64
basesystem	basesystem-11-13.el9.noarch
bash	bash-5.1.8-9.el9.x86_64
bash-completion	bash-completion-2.11-5.el9.noarch
bind-libs	bind-libs-9.16.23-31.el9_6.2.x86_64
bind-license	bind-license-9.16.23-31.el9_6.2.noarch
bind-utils	bind-utils-9.16.23-31.el9_6.2.x86_64
binutils	binutils-2.35.2-63.el9_6.1.x86_64
binutils-gold	binutils-gold-2.35.2-63.el9_6.1.x86_64
bootc	bootc-1.1.6-4.el9_6.x86_64
bootupd	bootupd-0.2.27-5.el9_6.x86_64
bsdtar	bsdtar-3.5.3-7.el9_6.1.x86_64
bubblewrap	bubblewrap-0.4.1-8.el9_5.x86_64
bzip2	bzip2-1.0.8-10.el9_5.x86_64
bzip2-libs	bzip2-libs-1.0.8-10.el9_5.x86_64
ca-certificates	ca-certificates-2025.2.80_v9.0.305-91.el9.noarch
c-ares	c-ares-1.19.1-2.el9_4.x86_64
checkpolicy	checkpolicy-3.6-1.el9.x86_64
chrony	chrony-4.6.1-1.el9.x86_64
cifs-utils	cifs-utils-7.2-0.el9_6.2.x86_64
clevis	clevis-21-208.el9.x86_64
clevis-dracut	clevis-dracut-21-208.el9.x86_64
clevis-luks	clevis-luks-21-208.el9.x86_64
clevis-systemd	clevis-systemd-21-208.el9.x86_64
cloud-utils-growpart	cloud-utils-growpart-0.33-1.el9.x86_64
composefs	composefs-1.0.8-1.el9.x86_64
composefs-libs	composefs-libs-1.0.8-1.el9.x86_64
conmon	conmon-2.1.12-1.el9.x86_64
conmon-rs	conmon-rs-0.6.6-0.rhaos4.18.el9.1.x86_64
console-login-helper-messages	console-login-helper-messages-0.21.3-1.el9.noarch
console-login-helper-messages-issuegen	console-login-helper-messages-issuegen-0.21.3-1.el9.noarch
console-login-helper-messages-profile	console-login-helper-messages-profile-0.21.3-1.el9.noarch
containernetworking-plugins	containernetworking-plugins-1.6.2-2.el9_6.x86_64
containers-common	containers-common-1-117.el9_6.x86_64
container-selinux	container-selinux-2.237.0-5.el9_6.noarch
coreos-installer-bootinfra	coreos-installer-bootinfra-0.24.0-6.el9_6.x86_64
coreos-installer	coreos-installer-0.24.0-6.el9_6.x86_64
coreutils-common	coreutils-common-8.32-39.el9.x86_64
coreutils	coreutils-8.32-39.el9.x86_64
cpio	cpio-2.13-16.el9.x86_64
cracklib	cracklib-2.9.6-27.el9.x86_64
cracklib-dicts	cracklib-dicts-2.9.6-27.el9.x86_64
cri-o	cri-o-1.32.13-6.rhaos4.19.git5f9368a.el9.x86_64
cri-tools	cri-tools-1.32.0-4.el9.x86_64
criu	criu-3.19-1.2.el9_6.x86_64
criu-libs	criu-libs-3.19-1.2.el9_6.x86_64
crun	crun-1.26-1.el9_6.x86_64
crypto-policies	crypto-policies-20250128-1.git5269e22.el9.noarch
crypto-policies-scripts	crypto-policies-scripts-20250128-1.git5269e22.el9.noarch
cryptsetup	cryptsetup-2.7.2-3.el9_6.1.x86_64
cryptsetup-libs	cryptsetup-libs-2.7.2-3.el9_6.1.x86_64
curl	curl-7.76.1-31.el9_6.3.x86_64
cyrus-sasl-gssapi	cyrus-sasl-gssapi-2.1.27-21.el9.x86_64
cyrus-sasl-lib	cyrus-sasl-lib-2.1.27-21.el9.x86_64
dbus-broker	dbus-broker-28-7.el9.x86_64
dbus-common	dbus-common-1.12.20-8.el9.noarch
dbus	dbus-1.12.20-8.el9.x86_64
dbus-libs	dbus-libs-1.12.20-8.el9.x86_64
dbus-tools	dbus-tools-1.12.20-8.el9.x86_64
device-mapper	device-mapper-1.02.202-6.el9.x86_64
device-mapper-event	device-mapper-event-1.02.202-6.el9.x86_64
device-mapper-event-libs	device-mapper-event-libs-1.02.202-6.el9.x86_64
device-mapper-libs	device-mapper-libs-1.02.202-6.el9.x86_64
device-mapper-multipath	device-mapper-multipath-0.8.7-35.el9_6.3.x86_64
device-mapper-multipath-libs	device-mapper-multipath-libs-0.8.7-35.el9_6.3.x86_64
device-mapper-persistent-data	device-mapper-persistent-data-1.1.0-1.el9.x86_64
diffutils	diffutils-3.7-12.el9.x86_64
dmidecode	dmidecode-3.6-1.el9.x86_64
dnf-data	dnf-data-4.14.0-25.el9.noarch
dnf	dnf-4.14.0-25.el9.noarch
dnsmasq	dnsmasq-2.85-17.el9_6.x86_64
dosfstools	dosfstools-4.2-3.el9.x86_64
dracut	dracut-057-89.git20250311.el9_6.x86_64
dracut-network	dracut-network-057-89.git20250311.el9_6.x86_64
dracut-squash	dracut-squash-057-89.git20250311.el9_6.x86_64
e2fsprogs	e2fsprogs-1.46.5-7.el9.x86_64
e2fsprogs-libs	e2fsprogs-libs-1.46.5-7.el9.x86_64
efibootmgr	efibootmgr-16-12.el9.x86_64
efi-filesystem	efi-filesystem-6-2.el9_0.noarch
efivar-libs	efivar-libs-38-3.el9.x86_64
elfutils-debuginfod-client	elfutils-debuginfod-client-0.192-6.el9_6.x86_64
elfutils-default-yama-scope	elfutils-default-yama-scope-0.192-6.el9_6.noarch
elfutils-libelf	elfutils-libelf-0.192-6.el9_6.x86_64
elfutils-libs	elfutils-libs-0.192-6.el9_6.x86_64
ethtool	ethtool-6.11-1.el9.x86_64
expat	expat-2.5.0-5.el9_6.1.x86_64
fcoe-utils	fcoe-utils-1.0.34-0.git14ef0d2.el9.x86_64
file	file-5.39-16.el9.x86_64
file-libs	file-libs-5.39-16.el9.x86_64
filesystem	filesystem-3.16-5.el9.x86_64
findutils	findutils-4.8.0-7.el9.x86_64
firewalld-filesystem	firewalld-filesystem-1.3.4-15.el9_6.noarch
flashrom	flashrom-1.2-10.el9.x86_64
fstrm	fstrm-0.6.1-3.el9.x86_64
fuse3	fuse3-3.10.2-9.el9.x86_64
fuse3-libs	fuse3-libs-3.10.2-9.el9.x86_64
fuse-common	fuse-common-3.10.2-9.el9.x86_64
fuse	fuse-2.9.9-17.el9.x86_64
fuse-libs	fuse-libs-2.9.9-17.el9.x86_64
fuse-overlayfs	fuse-overlayfs-1.14-1.el9.x86_64
fwupd	fwupd-1.9.26-1.el9.x86_64
fwupd-plugin-flashrom	fwupd-plugin-flashrom-1.9.26-1.el9.x86_64
gawk-all-langpacks	gawk-all-langpacks-5.1.0-6.el9.x86_64
gawk	gawk-5.1.0-6.el9.x86_64
gdbm-libs	gdbm-libs-1.23-1.el9.x86_64
gdisk	gdisk-1.0.7-5.el9.x86_64
geolite2-city	geolite2-city-20191217-6.el9.noarch
geolite2-country	geolite2-country-20191217-6.el9.noarch
gettext	gettext-0.21-8.el9.x86_64
gettext-libs	gettext-libs-0.21-8.el9.x86_64
git-core	git-core-2.47.3-1.el9_6.x86_64
glib2	glib2-2.68.4-16.el9_6.4.x86_64
