LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
57m         Normal    ScalingReplicaSet         deployment/cluster-baremetal-operator                      Scaled up replica set cluster-baremetal-operator-7cd75ffb86 from 0 to 1
57m         Normal    ScalingReplicaSet         deployment/machine-api-operator                            Scaled up replica set machine-api-operator-59d965c9c from 0 to 1
57m         Normal    ScalingReplicaSet         deployment/control-plane-machine-set-operator              Scaled up replica set control-plane-machine-set-operator-5546fc77c4 from 0 to 1
56m         Normal    ScalingReplicaSet         deployment/cluster-autoscaler-operator                     Scaled up replica set cluster-autoscaler-operator-5f848644c6 from 0 to 1
56m         Warning   FailedCreate              replicaset/control-plane-machine-set-operator-5546fc77c4   Error creating: pods "control-plane-machine-set-operator-5546fc77c4-" is forbidden: autoscaling.openshift.io/ManagementCPUsOverride the cluster does not have any nodes
56m         Warning   FailedCreate              replicaset/cluster-autoscaler-operator-5f848644c6          Error creating: pods "cluster-autoscaler-operator-5f848644c6-" is forbidden: autoscaling.openshift.io/ManagementCPUsOverride the cluster does not have any nodes
56m         Warning   FailedCreate              replicaset/cluster-baremetal-operator-7cd75ffb86           Error creating: pods "cluster-baremetal-operator-7cd75ffb86-" is forbidden: autoscaling.openshift.io/ManagementCPUsOverride the cluster does not have any nodes
56m         Warning   FailedCreate              replicaset/machine-api-operator-59d965c9c                  Error creating: pods "machine-api-operator-59d965c9c-" is forbidden: autoscaling.openshift.io/ManagementCPUsOverride the cluster does not have any nodes
55m         Normal    SuccessfulCreate          replicaset/control-plane-machine-set-operator-5546fc77c4   Created pod: control-plane-machine-set-operator-5546fc77c4-n7jww
55m         Warning   FailedScheduling          pod/control-plane-machine-set-operator-5546fc77c4-n7jww    0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
55m         Warning   FailedScheduling          pod/cluster-autoscaler-operator-5f848644c6-qlr9f           0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
55m         Normal    SuccessfulCreate          replicaset/cluster-autoscaler-operator-5f848644c6          Created pod: cluster-autoscaler-operator-5f848644c6-qlr9f
