7.040s chrony-wait.service
3.816s sys-module-fuse.device
3.730s sys-module-configfs.device
3.700s sys-devices-platform-serial8250-tty-ttyS1.device
3.700s dev-ttyS1.device
3.700s dev-ttyS2.device
3.700s sys-devices-platform-serial8250-tty-ttyS2.device
3.699s sys-devices-pnp0-00:04-tty-ttyS0.device
3.699s dev-ttyS0.device
3.699s dev-ttyS3.device
3.699s sys-devices-platform-serial8250-tty-ttyS3.device
3.565s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347\x2dpart1.device
3.565s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347_1\x2dpart1.device
3.565s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.565s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.565s dev-disk-by\x2did-nvme\x2duuid.a063f188\x2dff6c\x2d5ac5\x2dbb84\x2db48c2d8bf8a1\x2dpart1.device
3.565s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.565s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.565s dev-nvme0n1p1.device
3.557s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.557s sys-subsystem-net-devices-ens5.device
3.551s dev-nvme0n1p3.device
3.551s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
3.551s dev-disk-by\x2dlabel-boot.device
3.551s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
3.551s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347\x2dpart3.device
3.551s dev-disk-by\x2dpartlabel-boot.device
3.551s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
3.551s dev-disk-by\x2duuid-220b5bbe\x2d35ac\x2d493a\x2d89ba\x2d1c79ba7e2a3f.device
3.551s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347_1\x2dpart3.device
3.551s dev-disk-by\x2did-nvme\x2duuid.a063f188\x2dff6c\x2d5ac5\x2dbb84\x2db48c2d8bf8a1\x2dpart3.device
3.546s dev-disk-by\x2dpartlabel-root.device
3.546s dev-nvme0n1p4.device
3.546s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347_1\x2dpart4.device
3.546s dev-disk-by\x2dlabel-root.device
3.546s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.546s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347\x2dpart4.device
3.546s dev-disk-by\x2duuid-58a89d08\x2d9c02\x2d4992\x2db682\x2db5a3a13bd952.device
3.546s dev-nvme0n1p2.device
3.546s dev-disk-by\x2did-nvme\x2duuid.a063f188\x2dff6c\x2d5ac5\x2dbb84\x2db48c2d8bf8a1\x2dpart2.device
3.546s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347_1\x2dpart2.device
3.546s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
3.546s dev-disk-by\x2dpartuuid-42568aa5\x2d4d2f\x2d5544\x2dba18\x2d484330be8bdb.device
3.546s dev-disk-by\x2duuid-7B77\x2d95E7.device
3.546s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
3.546s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
3.546s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
3.546s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol055ea5c6b9f137347\x2dpart2.device
