3.693s sys-module-fuse.device
3.602s sys-module-configfs.device
3.590s dev-ttyS0.device
3.590s sys-devices-pnp0-00:04-tty-ttyS0.device
3.590s sys-devices-platform-serial8250-tty-ttyS2.device
3.590s dev-ttyS2.device
3.589s dev-ttyS3.device
3.589s sys-devices-platform-serial8250-tty-ttyS3.device
3.588s sys-devices-platform-serial8250-tty-ttyS1.device
3.588s dev-ttyS1.device
3.440s sys-subsystem-net-devices-ens5.device
3.440s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.429s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.429s dev-disk-by\x2did-nvme\x2duuid.da184ccd\x2d52bc\x2d55ea\x2d850c\x2da19b4c367224\x2dpart4.device
3.429s dev-disk-by\x2duuid-9e58f0ac\x2d1e33\x2d4a51\x2db04e\x2d26da6f202110.device
3.429s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74\x2dpart4.device
3.429s dev-disk-by\x2dpartlabel-root.device
3.429s dev-disk-by\x2dlabel-root.device
3.428s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74_1\x2dpart1.device
3.428s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.428s dev-nvme0n1p1.device
3.428s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.428s dev-disk-by\x2did-nvme\x2duuid.da184ccd\x2d52bc\x2d55ea\x2d850c\x2da19b4c367224\x2dpart1.device
3.428s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.428s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.428s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74\x2dpart1.device
3.426s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.426s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.426s dev-disk-by\x2ddiskseq-1.device
3.426s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74.device
3.426s dev-disk-by\x2did-nvme\x2duuid.da184ccd\x2d52bc\x2d55ea\x2d850c\x2da19b4c367224.device
3.426s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74_1.device
3.426s dev-nvme0n1.device
3.331s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.331s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74_1\x2dpart4.device
3.331s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.331s dev-nvme0n1p4.device
3.329s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
3.329s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
3.329s dev-disk-by\x2dlabel-boot.device
3.329s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol09be25c521f48fa74_1\x2dpart3.device
3.329s dev-disk-by\x2did-nvme\x2duuid.da184ccd\x2d52bc\x2d55ea\x2d850c\x2da19b4c367224\x2dpart3.device
3.329s dev-nvme0n1p3.device
3.329s dev-disk-by\x2dpartlabel-boot.device
3.329s dev-disk-by\x2duuid-5257eae1\x2dd23d\x2d484b\x2dacb7\x2dac76952e832d.device
