9.089s chrony-wait.service
4.315s sys-module-fuse.device
4.215s sys-module-configfs.device
4.189s sys-devices-platform-serial8250-tty-ttyS1.device
4.189s dev-ttyS1.device
4.188s sys-devices-platform-serial8250-tty-ttyS2.device
4.188s dev-ttyS2.device
4.188s dev-ttyS0.device
4.188s sys-devices-pnp0-00:04-tty-ttyS0.device
4.188s sys-devices-platform-serial8250-tty-ttyS3.device
4.188s dev-ttyS3.device
4.069s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
4.069s sys-subsystem-net-devices-ens5.device
4.065s dev-disk-by\x2did-nvme\x2duuid.6baadd25\x2dcc8e\x2d55e6\x2d99dd\x2dcee9ef24b67d\x2dpart4.device
4.065s dev-disk-by\x2dlabel-root.device
4.065s dev-disk-by\x2duuid-e4efce41\x2d8ce4\x2d4819\x2d9a3e\x2d03305983c649.device
4.060s dev-disk-by\x2did-nvme\x2duuid.6baadd25\x2dcc8e\x2d55e6\x2d99dd\x2dcee9ef24b67d\x2dpart1.device
4.060s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
4.060s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
4.060s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
4.060s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace\x2dpart1.device
4.060s dev-nvme0n1p1.device
4.060s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace_1\x2dpart1.device
4.060s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
4.057s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
4.057s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
4.057s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
4.057s dev-disk-by\x2dpartuuid-42568aa5\x2d4d2f\x2d5544\x2dba18\x2d484330be8bdb.device
4.057s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace_1\x2dpart2.device
4.057s dev-disk-by\x2did-nvme\x2duuid.6baadd25\x2dcc8e\x2d55e6\x2d99dd\x2dcee9ef24b67d\x2dpart2.device
4.057s dev-nvme0n1p2.device
4.057s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
4.057s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace\x2dpart2.device
4.057s dev-disk-by\x2duuid-7B77\x2d95E7.device
4.047s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
4.047s dev-nvme0n1p3.device
4.047s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace\x2dpart3.device
4.047s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace_1\x2dpart3.device
4.047s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
4.047s dev-disk-by\x2duuid-a650acd6\x2d06ab\x2d4193\x2d9613\x2d4c645e5bc7ad.device
4.047s dev-disk-by\x2dlabel-boot.device
4.047s dev-disk-by\x2did-nvme\x2duuid.6baadd25\x2dcc8e\x2d55e6\x2d99dd\x2dcee9ef24b67d\x2dpart3.device
4.047s dev-disk-by\x2dpartlabel-boot.device
4.047s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
4.045s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
4.045s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
4.045s dev-disk-by\x2ddiskseq-1.device
4.045s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace_1.device
4.045s dev-disk-by\x2did-nvme\x2duuid.6baadd25\x2dcc8e\x2d55e6\x2d99dd\x2dcee9ef24b67d.device
4.045s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0a29618d5b5057ace.device
4.045s dev-nvme0n1.device
4.005s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
4.005s dev-disk-by\x2dpartlabel-root.device
4.005s dev-nvme0n1p4.device
