3.771s sys-module-fuse.device
3.685s sys-module-configfs.device
3.660s dev-ttyS1.device
3.660s sys-devices-platform-serial8250-tty-ttyS1.device
3.654s dev-ttyS3.device
3.654s sys-devices-platform-serial8250-tty-ttyS3.device
3.653s dev-ttyS2.device
3.653s sys-devices-platform-serial8250-tty-ttyS2.device
3.653s dev-ttyS0.device
3.653s sys-devices-pnp0-00:04-tty-ttyS0.device
3.519s dev-nvme0n1p3.device
3.519s dev-disk-by\x2did-nvme\x2duuid.fdf24cb8\x2da73f\x2d5fe1\x2d9a8a\x2d9c09c3232dc3\x2dpart3.device
3.519s dev-disk-by\x2duuid-3752a55c\x2d8c84\x2d437f\x2dba54\x2d872bcbe2854e.device
3.519s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
3.519s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
3.519s dev-disk-by\x2dpartlabel-boot.device
3.519s dev-disk-by\x2dlabel-boot.device
3.519s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
3.519s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol010be4e2e656f493b\x2dpart3.device
3.519s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol010be4e2e656f493b_1\x2dpart3.device
3.513s sys-subsystem-net-devices-ens5.device
3.513s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.512s dev-disk-by\x2did-nvme\x2duuid.fdf24cb8\x2da73f\x2d5fe1\x2d9a8a\x2d9c09c3232dc3\x2dpart1.device
3.512s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.512s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol010be4e2e656f493b_1\x2dpart1.device
3.512s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.512s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol010be4e2e656f493b\x2dpart1.device
3.512s dev-nvme0n1p1.device
3.512s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.512s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.507s dev-disk-by\x2did-nvme\x2duuid.fdf24cb8\x2da73f\x2d5fe1\x2d9a8a\x2d9c09c3232dc3\x2dpart4.device
