7.042s chrony-wait.service
4.094s sys-module-fuse.device
4.003s sys-module-configfs.device
3.967s sys-devices-platform-serial8250-tty-ttyS3.device
3.967s dev-ttyS3.device
3.967s sys-devices-pnp0-00:04-tty-ttyS0.device
3.967s dev-ttyS0.device
3.965s dev-ttyS1.device
3.965s sys-devices-platform-serial8250-tty-ttyS1.device
3.965s dev-ttyS2.device
3.965s sys-devices-platform-serial8250-tty-ttyS2.device
3.843s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.843s sys-subsystem-net-devices-ens5.device
3.836s dev-disk-by\x2duuid-8c58f2d7\x2de5aa\x2d4bae\x2d9581\x2d7ed6304b7bf6.device
3.833s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d\x2dpart1.device
3.833s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.833s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.833s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.833s dev-nvme0n1p1.device
3.833s dev-disk-by\x2did-nvme\x2duuid.7ff8cf71\x2d1b21\x2d5cec\x2d8f0c\x2db047ba53f52a\x2dpart1.device
3.833s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d_1\x2dpart1.device
3.833s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.831s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.831s dev-nvme0n1.device
3.831s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d.device
3.831s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.831s dev-disk-by\x2did-nvme\x2duuid.7ff8cf71\x2d1b21\x2d5cec\x2d8f0c\x2db047ba53f52a.device
3.831s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d_1.device
3.831s dev-disk-by\x2ddiskseq-1.device
3.784s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
3.784s dev-disk-by\x2did-nvme\x2duuid.7ff8cf71\x2d1b21\x2d5cec\x2d8f0c\x2db047ba53f52a\x2dpart3.device
3.784s dev-disk-by\x2dpartlabel-boot.device
3.784s dev-disk-by\x2duuid-c1b391e7\x2d7a3f\x2d4386\x2d865b\x2dea973d9dbebf.device
3.784s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
3.784s dev-disk-by\x2dlabel-boot.device
3.784s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
3.784s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d\x2dpart3.device
3.784s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d_1\x2dpart3.device
3.784s dev-nvme0n1p3.device
3.758s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d\x2dpart2.device
3.758s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
3.758s dev-disk-by\x2did-nvme\x2duuid.7ff8cf71\x2d1b21\x2d5cec\x2d8f0c\x2db047ba53f52a\x2dpart2.device
3.758s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
3.758s dev-nvme0n1p2.device
3.758s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
3.758s dev-disk-by\x2duuid-7B77\x2d95E7.device
3.758s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d_1\x2dpart2.device
3.758s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
3.758s dev-disk-by\x2dpartuuid-42568aa5\x2d4d2f\x2d5544\x2dba18\x2d484330be8bdb.device
3.744s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.744s dev-nvme0n1p4.device
3.744s dev-disk-by\x2dpartlabel-root.device
3.744s dev-disk-by\x2dlabel-root.device
3.744s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d\x2dpart4.device
3.744s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07b178cd2bec6d45d_1\x2dpart4.device
3.744s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.744s dev-disk-by\x2did-nvme\x2duuid.7ff8cf71\x2d1b21\x2d5cec\x2d8f0c\x2db047ba53f52a\x2dpart4.device
3.744s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.257s ovs-configuration.service
2.789s sys-devices-virtual-block-loop0.device
2.789s dev-loop0.device
2.348s dev-disk-by\x2ddiskseq-3.device
