13.078s chrony-wait.service
 4.982s sys-module-fuse.device
 4.840s sys-module-configfs.device
 4.820s dev-ttyS1.device
 4.820s sys-devices-platform-serial8250-tty-ttyS1.device
 4.820s sys-devices-platform-serial8250-tty-ttyS2.device
 4.820s dev-ttyS2.device
 4.820s sys-devices-platform-serial8250-tty-ttyS3.device
 4.820s dev-ttyS3.device
 4.814s dev-ttyS0.device
 4.814s sys-devices-pnp0-00:04-tty-ttyS0.device
 4.720s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353\x2dpart1.device
 4.720s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 4.720s dev-disk-by\x2did-nvme\x2duuid.9135c880\x2d9af9\x2d5e7b\x2d86ed\x2d54fbf30668bd\x2dpart1.device
 4.720s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 4.720s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353_1\x2dpart1.device
 4.720s dev-nvme0n1p1.device
 4.720s dev-disk-by\x2dpartuuid-1eff90b0\x2d51f6\x2d354e\x2da46a\x2dd930fa096272.device
 4.720s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 4.718s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 4.718s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 4.718s dev-disk-by\x2did-nvme\x2duuid.9135c880\x2d9af9\x2d5e7b\x2d86ed\x2d54fbf30668bd.device
 4.718s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353.device
 4.718s dev-nvme0n1.device
 4.718s dev-disk-by\x2ddiskseq-1.device
 4.718s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353_1.device
 4.717s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353\x2dpart4.device
 4.717s dev-disk-by\x2duuid-09ee35a1\x2d868c\x2d4465\x2d82e8\x2dce882f668c88.device
 4.717s dev-disk-by\x2dpartlabel-root.device
 4.717s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
 4.700s sys-devices-pci0000:24-0000:24:00.0-0000:25:00.0-0000:26:00.0-0000:27:00.0-net-enp39s0.device
 4.700s sys-subsystem-net-devices-enp39s0.device
 4.617s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353_1\x2dpart2.device
 4.617s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
 4.617s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol05a51f2661c930353\x2dpart2.device
 4.617s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
 4.617s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
 4.617s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
 4.617s dev-nvme0n1p2.device
 4.617s dev-disk-by\x2duuid-7B77\x2d95E7.device
 4.617s dev-disk-by\x2dpartuuid-0cac9b5d\x2d3760\x2dd248\x2dbe28\x2db81e5b264ec1.device
 4.617s dev-disk-by\x2did-nvme\x2duuid.9135c880\x2d9af9\x2d5e7b\x2d86ed\x2d54fbf30668bd\x2dpart2.device
