20.124s chrony-wait.service
 3.798s sys-module-fuse.device
 3.756s sys-devices-platform-serial8250-tty-ttyS2.device
 3.756s dev-ttyS2.device
 3.756s sys-devices-platform-serial8250-tty-ttyS3.device
 3.756s dev-ttyS3.device
 3.755s dev-ttyS1.device
 3.755s sys-devices-platform-serial8250-tty-ttyS1.device
 3.755s dev-ttyS0.device
 3.755s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.749s sys-module-configfs.device
 3.695s dev-disk-by\x2did-nvme\x2duuid.99efafbd\x2d4ee1\x2d52cf\x2d95ba\x2d51424191a2df\x2dpart4.device
 3.695s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d\x2dpart4.device
 3.695s dev-disk-by\x2dpartuuid-ddc8c8f5\x2de4d6\x2db84d\x2d8d47\x2d9dae01750a80.device
 3.695s dev-disk-by\x2dpartlabel-root.device
 3.695s dev-disk-by\x2duuid-a7eeba4a\x2d8725\x2d4cdc\x2d814b\x2d9e14c951024f.device
 3.695s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
 3.693s dev-nvme0n1.device
 3.693s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 3.693s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d_1.device
 3.693s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 3.693s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d.device
 3.693s dev-disk-by\x2ddiskseq-1.device
 3.693s dev-disk-by\x2did-nvme\x2duuid.99efafbd\x2d4ee1\x2d52cf\x2d95ba\x2d51424191a2df.device
 3.691s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d\x2dpart1.device
 3.691s dev-disk-by\x2did-nvme\x2duuid.99efafbd\x2d4ee1\x2d52cf\x2d95ba\x2d51424191a2df\x2dpart1.device
 3.691s dev-nvme0n1p1.device
 3.691s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.691s dev-disk-by\x2dpartuuid-1eff90b0\x2d51f6\x2d354e\x2da46a\x2dd930fa096272.device
 3.691s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.691s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.691s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d_1\x2dpart1.device
 3.689s sys-devices-pci0000:24-0000:24:00.0-0000:25:00.0-0000:26:00.0-0000:27:00.0-net-enp39s0.device
 3.689s sys-subsystem-net-devices-enp39s0.device
 3.657s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
 3.657s dev-disk-by\x2dlabel-root.device
 3.657s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d_1\x2dpart4.device
 3.657s dev-nvme0n1p4.device
 3.656s dev-disk-by\x2dpartlabel-boot.device
 3.656s dev-disk-by\x2dlabel-boot.device
 3.656s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d\x2dpart3.device
 3.656s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0b968c1aa9259a60d_1\x2dpart3.device
 3.656s dev-disk-by\x2dpartuuid-4fb013db\x2d34fb\x2d4f43\x2d844b\x2db066b17f0e4a.device
 3.656s dev-nvme0n1p3.device
 3.656s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
